Epoch,Discriminator_Loss,Generator_Loss
1,0.0005933783249929547,8.490827560424805
2,0.3009071350097656,1.7217196226119995
3,0.2686524987220764,2.5665841102600098
4,0.3088963031768799,1.4767001867294312
5,0.47065049409866333,7.027229309082031
6,0.23156926035881042,2.6204757690429688
7,0.015285296365618706,4.801788330078125
8,0.34683454036712646,3.572173833847046
9,0.09324894100427628,2.978691816329956
10,0.0915490984916687,3.4325242042541504
11,0.22853033244609833,2.2888941764831543
12,0.02553764544427395,4.467065334320068
13,0.28938475251197815,8.090747833251953
14,0.22831279039382935,1.9847056865692139
15,0.014015156775712967,4.6863298416137695
16,0.04402238875627518,4.264694690704346
17,0.010888584889471531,7.3802618980407715
18,0.0002534929953981191,9.54104995727539
19,0.0034478839952498674,7.049914360046387
20,0.00043857021955773234,8.531096458435059
21,0.0001286446349695325,11.060267448425293
22,0.00032879511127248406,8.56766128540039
23,0.018663505092263222,7.504565238952637
24,0.04985252022743225,6.285821914672852
25,0.0007869313121773303,7.326668739318848
26,0.019346220418810844,5.311141490936279
27,0.021969208493828773,5.802318572998047
28,0.026820708066225052,5.047549247741699
29,0.7505970597267151,27.71601676940918
30,0.05977635085582733,3.4853103160858154
31,0.002671455731615424,6.0535688400268555
32,0.006760727148503065,6.104671478271484
33,0.056080061942338943,3.8383827209472656
34,0.02994191274046898,4.393648147583008
35,0.04812274128198624,4.268283367156982
36,0.0046743908897042274,6.425527095794678
37,0.003849306143820286,6.075730800628662
38,0.0212489552795887,4.5673136711120605
39,0.03145557641983032,5.484503746032715
40,0.006313633173704147,5.89454984664917
41,0.01534651592373848,5.971114635467529
42,0.009967844001948833,7.614101409912109
43,0.002622622763738036,6.731351852416992
44,0.012689131312072277,4.95407247543335
45,0.0030868621543049812,6.412444114685059
46,0.005407961551100016,6.060783386230469
47,0.030419407412409782,4.801906585693359
48,0.007321287877857685,5.603771209716797
49,0.05440020561218262,5.160312652587891
50,0.0790519043803215,3.7579267024993896
