Epoch,Generator_Loss,Critic_Loss
1,0.4678167998790741,-0.5228883028030396
2,0.6647430062294006,-1.3274327516555786
3,0.6538519859313965,-0.7876831889152527
4,0.6927118301391602,-1.3964024782180786
5,0.6749104261398315,-0.9831535816192627
6,0.7351455688476562,-1.4930229187011719
7,0.729454755783081,-1.4909272193908691
8,-0.30674034357070923,-0.6764271259307861
9,0.7245954871177673,-1.4957225322723389
10,0.7371100187301636,-1.518887996673584
11,0.733738362789154,-1.5179636478424072
12,0.7210767269134521,-1.4844931364059448
13,0.7396780848503113,-1.5227229595184326
14,0.7336696982383728,-1.5132286548614502
15,0.7370554208755493,-1.5127673149108887
16,0.45762044191360474,-0.4712207317352295
17,0.6619199514389038,-1.3528934717178345
18,0.6882030367851257,-1.4144575595855713
19,0.708605945110321,-1.4499092102050781
20,0.7355558276176453,-1.504165768623352
21,0.10034844279289246,-0.6890831589698792
22,0.7001513838768005,-1.4284875392913818
23,0.7305650115013123,-1.4847160577774048
24,0.6972863078117371,-1.4232956171035767
25,0.7112638354301453,-1.459932804107666
26,0.6744354963302612,-1.3798739910125732
27,0.6589036583900452,-1.342179298400879
28,0.6614607572555542,-1.3542252779006958
29,0.6025272011756897,-1.2315673828125
30,0.6518679261207581,-0.8450400829315186
31,0.2891429364681244,-0.9222109317779541
32,0.6430972814559937,-1.3122835159301758
33,0.6218618154525757,-1.2251195907592773
34,0.66985023021698,-1.3497586250305176
35,0.6410897374153137,-1.0814080238342285
36,0.5914109349250793,-1.224633812904358
37,0.650911808013916,-0.7979171276092529
38,0.410656213760376,-1.0353420972824097
39,0.6150072813034058,-1.0025827884674072
40,0.15067285299301147,-0.8540544509887695
41,0.18009555339813232,-0.9259650707244873
42,0.5634580850601196,-1.0201892852783203
43,0.016741102561354637,-0.7219222187995911
44,0.2269461452960968,-0.8202341794967651
45,0.5721587538719177,-1.1732889413833618
46,0.17098459601402283,-0.8275296688079834
47,0.5799914002418518,-1.1793981790542603
48,0.6079959869384766,-0.9142225980758667
49,0.14813867211341858,-0.6070383191108704
50,0.17674200236797333,-0.7999386787414551
