Epoch,Discriminator_Loss,Generator_Loss
1,0.0030038096010684967,6.7920966148376465
2,0.0622987225651741,8.908919334411621
3,0.6112639904022217,1.6205124855041504
4,1.182716965675354,0.9446761012077332
5,0.16238446533679962,3.7696895599365234
6,1.1087489128112793,4.549445629119873
7,0.09770156443119049,4.038698196411133
8,0.2609421908855438,3.519296169281006
9,0.6525712013244629,2.012986421585083
10,0.2519495189189911,3.582334041595459
11,0.034339506179094315,5.245176315307617
12,0.4567412734031677,3.9838905334472656
13,0.5441733598709106,2.0675017833709717
14,6.649844169616699,2.0007214546203613
15,0.920275092124939,4.281689643859863
16,0.39903485774993896,2.070262908935547
17,0.040463387966156006,4.592532634735107
18,0.03964455425739288,4.297611236572266
19,0.6336797475814819,3.5497169494628906
20,0.115854911506176,3.1215381622314453
21,0.38797181844711304,2.776566505432129
22,0.010933824814856052,7.3576154708862305
23,0.0012867816258221865,7.396268844604492
24,6.400074198609218e-06,35.44291687011719
25,0.004087155684828758,7.054248332977295
26,0.005850149784237146,7.204709053039551
27,0.0005443478003144264,8.642668724060059
28,0.001325941295363009,8.555932998657227
29,7.084925891831517e-05,32.6844482421875
30,0.0008368273265659809,7.715165615081787
31,0.00895142275840044,7.368575096130371
32,0.002000359818339348,7.442628383636475
33,0.15153539180755615,7.6649885177612305
34,0.0035382129717618227,6.393451690673828
35,0.004014863632619381,6.647792816162109
36,0.0035394972655922174,7.455504894256592
37,0.0007808061200194061,7.730301856994629
38,0.00028769634081982076,8.921500205993652
39,0.0007504308596253395,8.067081451416016
40,0.04853121563792229,6.719708442687988
41,0.605548083782196,9.331380844116211
42,0.03959381952881813,5.393496513366699
43,0.008935336954891682,5.672709941864014
44,0.011755915358662605,5.607551574707031
45,0.028077606111764908,8.433140754699707
46,0.011680030263960361,6.525847911834717
47,0.025133218616247177,5.072311878204346
48,0.004428670275956392,9.547807693481445
49,0.007655472494661808,6.863339900970459
50,59.05791473388672,72.10660552978516
