Epoch,Critic_Loss,Generator_Loss
1,-0.13131332397460938,-15.722006797790527
2,-0.05836296081542969,-12.42869758605957
3,-0.010528564453125,-10.647682189941406
4,-0.036360740661621094,-10.103300094604492
5,0.0034227371215820312,-7.11499547958374
6,0.01186513900756836,-6.350898742675781
7,0.011531352996826172,-5.44744873046875
8,-0.014909744262695312,-4.695866584777832
9,-0.0009746551513671875,-3.8880505561828613
10,-0.05440855026245117,-4.049167633056641
11,-0.047453880310058594,-1.4646408557891846
12,-0.0730283260345459,-2.2339487075805664
13,-0.0800366997718811,-0.870620608329773
14,-0.11990970373153687,-0.40010035037994385
15,-0.15044072270393372,0.3693954050540924
16,-0.10121896862983704,-0.5029913187026978
17,-0.12907224893569946,-0.7672547698020935
18,-0.14867210388183594,-0.9659076929092407
19,-0.19333767890930176,-0.9489092826843262
20,-0.17033839225769043,-0.3480393886566162
21,-0.19288480281829834,-0.5542639493942261
22,-0.21527212858200073,-0.7113955020904541
23,-0.2430950403213501,0.12574903666973114
24,-0.131425678730011,-0.08867451548576355
25,-0.16564881801605225,0.12888820469379425
26,-0.162802055478096,-0.15824703872203827
27,-0.18924394249916077,-0.30354100465774536
28,-0.14765673875808716,-0.69972163438797
29,-0.1699085533618927,-0.32134294509887695
30,-0.21766585111618042,-0.7064313292503357
31,-0.1991899013519287,-1.1319847106933594
32,-0.18393397331237793,-0.7944501638412476
33,-0.19412925839424133,-0.3559618890285492
34,-0.15059709548950195,-0.6184649467468262
35,-0.15396606922149658,-0.9265995025634766
36,-0.19082504510879517,-0.24925856292247772
37,-0.16857028007507324,-0.2780628502368927
38,-0.17421722412109375,-0.7428299784660339
39,-0.18618881702423096,-0.8530075550079346
40,-0.13423381745815277,-0.053336337208747864
41,-0.15402431786060333,0.00900837779045105
42,-0.17624211311340332,-0.5841611623764038
43,-0.17362970113754272,-0.5680063962936401
44,-0.14281782507896423,-0.3886321783065796
45,-0.18342679738998413,-0.5831156969070435
46,-0.1410275101661682,-0.8521784543991089
47,-0.12391185760498047,-0.6629860401153564
48,-0.15919357538223267,-0.6078109741210938
49,-0.1282394528388977,-0.5194444060325623
50,-0.11337935924530029,-0.45426619052886963
