Epoch,Generator_Loss,Discriminator_Loss
1,1.3598194122314453,0.3925226926803589
2,2.651808261871338,0.5230237245559692
3,1.588291049003601,0.4479355216026306
4,2.2553935050964355,0.38380101323127747
5,1.7994556427001953,0.5358373522758484
6,1.6973881721496582,0.5462183356285095
7,0.6280394196510315,0.718600869178772
8,1.0610374212265015,0.5045854449272156
9,0.843826413154602,0.538784384727478
10,0.9570059776306152,0.5664367079734802
11,1.064013957977295,0.5554536581039429
12,0.5573121905326843,0.6481745839118958
13,1.5077964067459106,0.6666183471679688
14,0.6560415625572205,0.6643506288528442
15,1.0871162414550781,0.6132383942604065
16,0.7290259003639221,0.6257940530776978
17,1.076878309249878,0.6374441385269165
18,1.0596171617507935,0.6409220695495605
19,1.0196449756622314,0.5808470249176025
20,0.886955201625824,0.6694290637969971
21,0.7683675289154053,0.6730555295944214
22,1.3818888664245605,0.6242685317993164
23,1.094622015953064,0.5986853837966919
24,0.9734200239181519,0.6416404247283936
25,0.7226740717887878,0.623180627822876
26,1.1929625272750854,0.671028196811676
27,1.1294488906860352,0.5831552743911743
28,1.0244150161743164,0.6121695637702942
29,0.8544049263000488,0.6070702075958252
30,0.8434447050094604,0.6475706100463867
31,0.9633817076683044,0.6295762062072754
32,0.9732451438903809,0.5705351829528809
33,1.2138627767562866,0.5959470272064209
34,0.9184767007827759,0.5804848074913025
35,0.6679267883300781,0.6715046167373657
36,0.9310235977172852,0.6084808111190796
37,0.7410696744918823,0.6886805295944214
38,1.1526035070419312,0.626396894454956
39,1.0922602415084839,0.6037557125091553
40,1.1009955406188965,0.6261991262435913
41,1.248617172241211,0.5851391553878784
42,1.3994174003601074,0.6922892928123474
43,1.0576162338256836,0.6224569082260132
44,1.0140241384506226,0.5689210295677185
45,1.0573201179504395,0.6068116426467896
46,0.9991982579231262,0.6814254522323608
47,1.0970189571380615,0.609894871711731
48,1.4965900182724,0.6715816259384155
49,1.2349132299423218,0.6544225215911865
50,1.3182698488235474,0.5784276723861694
